epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,357.119,0.82838,0.81921,0.3846,0.70996,1.24447,1,0.86233,0.9714,0.81645,0.96849,0.83078,0.88106,0.72282,0.68657,1.0379,0.0496,0.86065,1.10561,0.00171488,0.00171488,0.00171488
74,361.401,0.85625,0.67132,0.38027,0.71158,1.25853,1,0.88938,0.995,0.8187,0.96951,0.85949,0.9359,0.83659,0.72208,0.84971,0.04232,0.77668,1.1087,0.00171092,0.00171092,0.00171092
75,370.949,0.85607,0.49368,0.37255,0.66416,1.24318,0.98776,1,0.995,0.80328,0.96071,0.97297,0.97272,0.8006,0.76542,0.9985,0.04003,0.59716,1.12941,0.00170696,0.00170696,0.00170696
76,374.989,0.85666,0.7642,0.45162,0.69529,1.28625,0.94849,1,0.995,0.81395,0.92234,0.97297,0.97214,0.78668,0.72677,0.92532,0.05061,0.54541,1.08534,0.001703,0.001703,0.001703
77,379.487,0.82516,0.66053,0.38947,0.68313,1.28289,0.97314,0.97929,0.99447,0.81576,0.94628,0.95226,0.96839,0.83062,0.73443,0.99624,0.06673,0.54438,1.08263,0.00169904,0.00169904,0.00169904
78,383.952,0.78774,0.69763,0.36861,0.65739,1.18566,0.97309,0.97733,0.99447,0.80728,0.91368,0.94595,0.94425,0.86716,0.74093,0.88634,0.04565,0.51556,1.10523,0.00169508,0.00169508,0.00169508
79,388.779,0.81015,0.50605,0.32934,0.61498,1.2205,0.98802,1,0.995,0.807,0.93433,0.94595,0.93983,0.86015,0.741,0.84221,0.03945,0.50561,1.10188,0.00169112,0.00169112,0.00169112
80,393.396,0.78167,0.53322,0.35495,0.60476,1.20294,0.9172,1,0.99134,0.80456,0.84063,0.91892,0.91641,0.7709,0.76741,1.09611,0.02339,0.5503,1.14827,0.00168716,0.00168716,0.00168716
81,397.382,0.93037,0.80947,0.37151,0.66733,1.34926,0.92419,0.98862,0.9935,0.82432,0.84996,0.91862,0.9105,0.77484,0.76986,1.10692,0.02146,0.60466,1.1537,0.0016832,0.0016832,0.0016832
82,404.904,0.91882,0.409,0.37443,0.671,1.33375,0.98305,0.97297,0.99305,0.82368,0.91412,0.89189,0.90519,0.78851,0.76263,1.13463,0.01748,0.65824,1.14475,0.00167924,0.00167924,0.00167924
83,409.202,0.8659,0.43384,0.35924,0.68046,1.30952,0.98948,1,0.995,0.82132,0.9357,0.94595,0.95419,0.83534,0.73566,0.91416,0.01596,0.58553,1.11815,0.00167528,0.00167528,0.00167528
84,413.519,0.78039,0.45442,0.33636,0.62091,1.21226,0.99424,1,0.995,0.87172,0.96737,0.97297,0.95927,0.86097,0.64054,0.64272,0.01126,0.53509,1.05074,0.00167132,0.00167132,0.00167132
85,418.506,0.77247,0.35883,0.3666,0.60575,1.22378,0.99548,1,0.995,0.86336,0.96794,0.97297,0.96047,0.84367,0.6442,0.66438,0.01298,0.55258,1.057,0.00166736,0.00166736,0.00166736
86,422.625,0.8369,0.35899,0.35444,0.65133,1.29221,0.9941,1,0.995,0.85028,0.93687,0.94595,0.92019,0.83977,0.65176,0.79469,0.02396,0.75844,1.04476,0.0016634,0.0016634,0.0016634
87,426.642,0.77956,0.5714,0.34029,0.60309,1.19945,0.98749,1,0.995,0.83973,0.9608,0.97297,0.9696,0.89607,0.70648,0.64643,0.03118,0.77455,1.06616,0.00165944,0.00165944,0.00165944
88,436.107,0.83714,0.4681,0.37538,0.64357,1.25793,0.99319,1,0.995,0.85556,0.96608,0.97297,0.97427,0.90286,0.63539,0.52842,0.02392,0.64493,1.06846,0.00165548,0.00165548,0.00165548
89,441.141,0.8014,0.44236,0.37162,0.62051,1.22237,0.99435,1,0.995,0.8791,0.96731,0.97297,0.97437,0.87729,0.5771,0.60607,0.02307,0.54961,1.03388,0.00165152,0.00165152,0.00165152
90,445.645,0.88189,0.54383,0.36871,0.66793,1.27608,0.99304,1,0.995,0.83652,0.9662,0.97297,0.96506,0.90815,0.64566,0.52451,0.03611,0.51161,1.03779,0.00164756,0.00164756,0.00164756
91,451.121,0.80889,0.49352,0.35196,0.65448,1.20231,0.99574,1,0.995,0.83645,0.96837,0.97297,0.97029,0.83151,0.62066,0.74396,0.04471,0.51055,1.04286,0.0016436,0.0016436,0.0016436
92,455.581,0.8276,0.40628,0.39799,0.6574,1.24339,0.9854,1,0.995,0.81724,0.95827,0.97297,0.96865,0.65195,0.65822,1.25645,0.04356,0.58746,1.07698,0.00163964,0.00163964,0.00163964
93,459.877,0.80091,0.57047,0.33077,0.67941,1.21808,0.98352,1,0.995,0.83041,0.85024,0.86486,0.80455,0.63965,0.66128,1.28281,0.04083,0.63119,1.08053,0.00163568,0.00163568,0.00163568
94,464.2,0.82802,0.58194,0.34728,0.66011,1.2339,0.96808,1,0.99289,0.8298,0.91987,0.94595,0.9458,0.85262,0.66799,0.70165,0.04185,0.67216,1.09415,0.00163172,0.00163172,0.00163172
95,468.816,0.75024,0.40159,0.34533,0.59797,1.20894,0.96986,1,0.99079,0.8272,0.91666,0.94595,0.9446,0.82663,0.65011,0.77233,0.04401,0.65582,1.08294,0.00162776,0.00162776,0.00162776
96,473.898,0.78393,0.41714,0.37499,0.62433,1.21949,0.96929,1,0.99289,0.85809,0.9169,0.94595,0.929,0.85695,0.67705,0.69196,0.05344,0.49151,1.05294,0.0016238,0.0016238,0.0016238
97,477.908,0.81277,0.52485,0.33203,0.60496,1.21116,0.97625,1,0.995,0.8676,0.94987,0.97297,0.97246,0.88336,0.69195,0.63662,0.05326,0.48618,1.06288,0.00161984,0.00161984,0.00161984
98,485.58,0.831,0.47804,0.29609,0.62383,1.25562,0.98824,1,0.995,0.85903,0.96153,0.97297,0.97214,0.89707,0.64594,0.52939,0.04853,0.40499,1.05282,0.00161588,0.00161588,0.00161588
99,489.573,0.83978,0.35601,0.37467,0.63503,1.26147,0.99363,1,0.995,0.84656,0.93948,0.94595,0.92045,0.88292,0.68038,0.60648,0.04712,0.43982,1.06211,0.00161192,0.00161192,0.00161192
100,494.718,0.70789,0.35302,0.3522,0.54489,1.16361,0.98922,1,0.995,0.84916,0.85409,0.86486,0.77912,0.64384,0.63634,1.40211,0.05082,0.66795,1.03935,0.00160796,0.00160796,0.00160796
101,498.73,0.75089,0.27947,0.34426,0.61722,1.20504,0.99358,1,0.995,0.83956,0.83059,0.83784,0.73676,0.65007,0.63234,1.554,0.0587,0.65451,1.03324,0.001604,0.001604,0.001604
102,502.747,0.80589,0.46128,0.33599,0.58495,1.22082,0.98969,1,0.995,0.85288,0.90944,0.91892,0.84974,0.78062,0.58846,0.97989,0.0492,0.43227,1.0268,0.00160004,0.00160004,0.00160004
103,507.354,0.75687,0.51493,0.3492,0.56197,1.22074,0.9936,1,0.995,0.85301,0.93989,0.94595,0.91042,0.89684,0.63153,0.56526,0.04348,0.3954,1.05311,0.00159608,0.00159608,0.00159608
104,511.42,0.75661,0.43388,0.2977,0.58509,1.1975,0.99616,1,0.995,0.84601,0.96924,0.97297,0.97441,0.91246,0.63367,0.60571,0.03355,0.39205,1.04306,0.00159212,0.00159212,0.00159212
105,522.025,0.84671,0.42616,0.39849,0.62997,1.28896,0.99209,1,0.995,0.84731,0.93827,0.94595,0.95276,0.90063,0.6373,0.6691,0.03663,0.40577,1.04019,0.00158816,0.00158816,0.00158816
106,526.181,0.77499,0.47671,0.34448,0.59256,1.22323,0.99681,1,0.995,0.86231,0.99681,1,0.995,0.875,0.58844,0.6901,0.06087,0.39914,1.01566,0.0015842,0.0015842,0.0015842
107,530.855,0.71097,0.45729,0.29708,0.59395,1.169,0.99618,1,0.995,0.87058,0.96926,0.97297,0.97701,0.89381,0.58285,0.66873,0.06347,0.38898,1.01113,0.00158024,0.00158024,0.00158024
108,535.439,0.69401,0.44046,0.31119,0.54849,1.14911,0.97791,1,0.995,0.8642,0.92444,0.94595,0.93425,0.86186,0.58332,0.73252,0.04545,0.38365,1.00668,0.00157628,0.00157628,0.00157628
109,539.452,0.76101,0.45149,0.32846,0.62754,1.2304,0.97064,1,0.99447,0.8552,0.91818,0.94595,0.93183,0.85206,0.61907,0.74133,0.04441,0.3904,1.01941,0.00157232,0.00157232,0.00157232
110,544.128,0.71104,0.33241,0.30984,0.55808,1.16243,0.97197,1,0.99368,0.85084,0.9457,0.97297,0.97531,0.91334,0.62906,0.52092,0.03311,0.37301,1.02371,0.00156836,0.00156836,0.00156836
111,548.216,0.75873,0.5004,0.32617,0.60487,1.22786,0.97145,1,0.99237,0.85504,0.94519,0.97297,0.96983,0.93616,0.63318,0.45538,0.0291,0.39434,1.03059,0.0015644,0.0015644,0.0015644
112,555.198,0.76104,0.33213,0.29279,0.57842,1.21708,0.9537,1,0.995,0.84952,0.92556,0.97297,0.97134,0.92296,0.62841,0.45727,0.03248,0.45248,1.0258,0.00156044,0.00156044,0.00156044
113,559.559,0.67864,0.33332,0.29307,0.53277,1.1435,0.95033,1,0.99289,0.85602,0.92465,0.97297,0.96905,0.9312,0.61753,0.42452,0.03588,0.44109,1.03334,0.00155648,0.00155648,0.00155648
114,563.585,0.74675,0.37947,0.3072,0.57473,1.17811,0.96999,1,0.995,0.8254,0.91743,0.94595,0.93983,0.87866,0.71754,0.69614,0.04386,0.43889,1.07111,0.00155252,0.00155252,0.00155252
115,567.826,0.71123,0.38311,0.30706,0.56116,1.15131,0.95011,1,0.99368,0.82053,0.89802,0.94595,0.92393,0.75818,0.69481,0.98341,0.04388,0.51063,1.06577,0.00154856,0.00154856,0.00154856
116,572.196,0.69779,0.45581,0.28991,0.53344,1.15577,0.97576,1,0.995,0.8593,0.86887,0.89189,0.8811,0.74463,0.61177,1.22962,0.03764,0.50718,1.02576,0.0015446,0.0015446,0.0015446
117,576.22,0.75575,0.45579,0.33095,0.55611,1.18805,0.97308,0.97699,0.99447,0.85002,0.96715,0.97297,0.98063,0.80596,0.61716,1.14515,0.03477,0.49481,1.02433,0.00154064,0.00154064,0.00154064
118,580.412,0.71495,0.37965,0.27754,0.56916,1.13906,0.97354,0.99465,0.99079,0.84556,0.96782,0.97297,0.9744,0.89622,0.62969,0.73353,0.02386,0.61473,1.02851,0.00153668,0.00153668,0.00153668
119,584.795,0.72364,0.30782,0.31928,0.52059,1.19553,0.99248,1,0.995,0.85361,0.96375,0.97297,0.97228,0.88562,0.61901,0.65059,0.02125,0.6869,1.02473,0.00153272,0.00153272,0.00153272
120,588.856,0.7647,0.29896,0.28994,0.60683,1.22979,0.988,1,0.995,0.85944,0.96129,0.97297,0.97586,0.91357,0.63032,0.55029,0.03008,0.58791,1.04227,0.00152876,0.00152876,0.00152876
